match_id,date,venue,team1,team2,toss_winner,toss_decision,winner,player_of_match,format
match_00056,2022-04-09,Sharjah,Afghanistan,Gujarat Titans,Afghanistan,bat,,Trent Boult,t20
match_00057,2023-08-25,Chinnaswamy,Royal Challengers Bengaluru,England,England,field,Royal Challengers Bengaluru,Rohit Sharma,t20
match_00058,2023-04-08,Sharjah,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,Yuzvendra Chahal,t20
match_00059,2017-05-15,Chinnaswamy,Pakistan,South Africa,South Africa,field,Pakistan,Joe Root,t20
match_00060,2021-11-21,Wankhede Stadium,New Zealand,Pakistan,New Zealand,bat,Pakistan,Jos Buttler,t20
match_00061,2024-09-04,Lords,West Indies,Pakistan,Pakistan,field,West Indies,Babar Azam,t20
match_00062,2017-12-17,SCG,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Pat Cummins,t20
match_00063,2016-08-10,Chepauk,New Zealand,Punjab Kings,Punjab Kings,bat,,Shreyas Iyer,t20
match_00064,2015-05-12,MCG,Gujarat Titans,Netherlands,Netherlands,bat,,Pat Cummins,t20
match_00065,2019-06-26,Chinnaswamy,Australia,Gujarat Titans,Australia,field,Australia,KL Rahul,t20
match_00066,2017-02-04,Sharjah,Netherlands,Royal Challengers Bengaluru,Netherlands,bat,Royal Challengers Bengaluru,Babar Azam,t20
match_00067,2018-02-23,Optus,India,Pakistan,India,field,,KL Rahul,t20
match_00068,2020-04-03,Optus,South Africa,Mumbai Indians,Mumbai Indians,bat,,Andre Russell,t20
match_00069,2019-05-03,Eden Gardens,Ireland,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,,Shubman Gill,t20
match_00070,2014-11-04,Lords,Sri Lanka,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,t20
match_00071,2012-06-24,Lords,Ireland,Bangladesh,Ireland,field,Bangladesh,Rohit Sharma,t20
match_00072,2022-02-11,Eden Gardens,Netherlands,Gujarat Titans,Gujarat Titans,field,,Faf du Plessis,t20
match_00073,2022-12-06,MCG,South Africa,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,South Africa,Faf du Plessis,t20
match_00074,2021-07-24,SCG,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,Rashid Khan,t20
match_00075,2022-11-12,Lords,South Africa,Netherlands,Netherlands,field,Netherlands,Kieron Pollard,t20
match_00076,2023-02-24,Wankhede Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Gujarat Titans,Kane Williamson,t20
match_00077,2019-03-17,Ahmedabad,Bangladesh,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rashid Khan,t20
match_00078,2013-11-22,Wankhede Stadium,Punjab Kings,Pakistan,Pakistan,bat,Punjab Kings,MS Dhoni,t20
match_00079,2020-05-23,Chinnaswamy,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,Shaheen Afridi,t20
match_00080,2016-12-28,Sharjah,New Zealand,Pakistan,Pakistan,field,New Zealand,Faf du Plessis,t20
