match_id,date,venue,team1,team2,toss_winner,toss_decision,winner,player_of_match,format
match_00057,2017-06-10,Lords,Punjab Kings,New Zealand,Punjab Kings,field,Punjab Kings,Faf du Plessis,ipl
match_00058,2019-08-19,Optus,Rajasthan Royals,Netherlands,Netherlands,bat,,Kieron Pollard,ipl
match_00059,2023-04-28,Eden Gardens,Pakistan,Punjab Kings,Pakistan,field,Punjab Kings,Rashid Khan,ipl
match_00060,2012-06-01,Lords,Mumbai Indians,New Zealand,New Zealand,bat,Mumbai Indians,Mohammad Shami,ipl
match_00061,2019-09-22,Sharjah,Australia,Mumbai Indians,Australia,field,,Jasprit Bumrah,ipl
match_00062,2012-10-01,Optus,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Jos Buttler,ipl
match_00063,2012-02-22,SCG,Sri Lanka,Australia,Sri Lanka,bat,Australia,AB de Villiers,ipl
match_00064,2017-04-19,Eden Gardens,Royal Challengers Bengaluru,Netherlands,Royal Challengers Bengaluru,field,Netherlands,Joe Root,ipl
match_00065,2012-07-16,Ahmedabad,Pakistan,Afghanistan,Afghanistan,bat,,KL Rahul,ipl
match_00066,2023-01-16,Eden Gardens,Pakistan,Gujarat Titans,Pakistan,bat,Pakistan,Rashid Khan,ipl
match_00067,2022-04-14,Ahmedabad,Royal Challengers Bengaluru,West Indies,Royal Challengers Bengaluru,bat,,Trent Boult,ipl
match_00068,2023-07-13,Optus,Gujarat Titans,West Indies,Gujarat Titans,bat,West Indies,Joe Root,ipl
match_00069,2017-10-10,SCG,Pakistan,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shubman Gill,ipl
match_00070,2020-04-02,Optus,Rajasthan Royals,Sri Lanka,Rajasthan Royals,field,Sri Lanka,Hardik Pandya,ipl
match_00071,2015-04-13,Ahmedabad,Ireland,Bangladesh,Bangladesh,field,,Jasprit Bumrah,ipl
match_00072,2016-09-16,SCG,Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,Chennai Super Kings,Ravindra Jadeja,ipl
match_00073,2012-11-05,Wankhede Stadium,Chennai Super Kings,England,Chennai Super Kings,field,,Yuzvendra Chahal,ipl
match_00074,2022-06-16,Wankhede Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,,Ravindra Jadeja,ipl
match_00075,2019-10-02,Sharjah,Pakistan,Bangladesh,Bangladesh,bat,Bangladesh,Rohit Sharma,ipl
match_00076,2020-02-10,Wankhede Stadium,Afghanistan,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Kieron Pollard,ipl
match_00077,2015-04-03,Lords,Punjab Kings,Ireland,Ireland,bat,Ireland,Shubman Gill,ipl
match_00078,2014-11-08,Ahmedabad,Ireland,Kolkata Knight Riders,Ireland,field,,KL Rahul,ipl
match_00079,2014-01-25,Chinnaswamy,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Mumbai Indians,Shreyas Iyer,ipl
match_00080,2015-12-22,Ahmedabad,Sunrisers Hyderabad,West Indies,Sunrisers Hyderabad,bat,West Indies,Jos Buttler,ipl
